batch_size,oom,final_test_acc,final_train_acc,generalization_gap,avg_epoch_time,convergence_epoch,best_test_acc,lr,elapsed_s,history
16,False,67.14,65.898,-1.2420000000000044,2.5289544343948362,,67.14,0.0005,26.974989652633667,"{'train_loss': [1.775070837059021, 1.481062975063324, 1.327687182407379, 1.2405200109863281, 1.1751733229255676, 1.121290672597885, 1.071711875295639, 1.036346873884201, 0.99847335105896, 0.9669612270069122], 'train_acc': [32.826, 45.68, 52.156, 55.546, 58.14, 60.294, 61.924, 63.42, 64.772, 65.898], 'test_loss': [1.5809267232894897, 1.3846759035110474, 1.2866350889205933, 1.2902693090438844, 1.1445403841018678, 1.1125077171325684, 1.0525800369262694, 1.0031202224731446, 0.9725347750663758, 0.9445581857681274], 'test_acc': [40.76, 49.35, 54.56, 53.71, 59.79, 60.45, 63.0, 64.23, 66.05, 67.14], 'epoch_time': [2.4577693939208984, 2.619070529937744, 2.5503759384155273, 2.522949695587158, 2.5556793212890625, 2.5120623111724854, 2.4609124660491943, 2.5684704780578613, 2.5918776988983154, 2.450376510620117], 'lr': [0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005]}"
64,False,69.5,69.934,0.4339999999999975,0.924621295928955,,69.5,0.002,10.96599531173706,"{'train_loss': [1.7359209867095948, 1.4041435105514526, 1.2415080660247804, 1.1408703030395508, 1.0587243187332154, 1.0121599836730957, 0.9581749164390564, 0.9161961242103577, 0.8864850191497803, 0.8552316270065308], 'train_acc': [34.218, 49.134, 55.504, 59.454, 62.492, 64.336, 66.498, 67.796, 68.64, 69.934], 'test_loss': [1.5023427122116089, 1.370240553855896, 1.1729270040512085, 1.0810511749267577, 1.1942668121337892, 1.0160455226898193, 1.083364239883423, 0.991163444328308, 0.9087978972434998, 0.8825417313575744], 'test_acc': [44.58, 49.72, 57.62, 61.97, 59.11, 64.08, 63.52, 65.19, 68.66, 69.5], 'epoch_time': [0.9315121173858643, 0.9354164600372314, 0.9141542911529541, 0.9746696949005127, 0.9231586456298828, 0.9087364673614502, 0.9392490386962891, 0.9337005615234375, 0.8913962841033936, 0.8942193984985352], 'lr': [0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002]}"
128,False,67.08,67.26,0.18000000000000682,0.8800976514816284,,67.08,0.004,10.520528554916382,"{'train_loss': [1.820095345993042, 1.4850869783782958, 1.3222613153839111, 1.2118986367034912, 1.1473617068481445, 1.08128589302063, 1.0446834019470215, 0.996640651512146, 0.9616210466194153, 0.9324354111480713], 'train_acc': [30.574, 45.584, 52.172, 56.74, 59.048, 61.906, 63.064, 64.752, 66.202, 67.26], 'test_loss': [1.6268288892745972, 1.391863916015625, 1.2633558988571167, 1.2493890007019044, 1.136547566986084, 1.0740929138183595, 1.0854139921188355, 0.9735241641998291, 0.9515811784744262, 0.9518980019569397], 'test_acc': [39.28, 49.62, 55.28, 56.28, 58.95, 61.75, 62.5, 65.57, 66.58, 67.08], 'epoch_time': [0.8973307609558105, 0.8792479038238525, 0.8946363925933838, 0.8784477710723877, 0.8619964122772217, 0.8649418354034424, 0.8795523643493652, 0.906836748123169, 0.8592073917388916, 0.8787789344787598], 'lr': [0.004, 0.004, 0.004, 0.004, 0.004, 0.004, 0.004, 0.004, 0.004, 0.004]}"
