batch_size,final_train_acc,final_test_acc,generalization_gap,avg_epoch_time,learning_rate
1,68.264,67.01,1.2539999999999907,34.50578847408295,3.125e-05
8,79.918,76.92,2.9980000000000047,4.858480916023255,0.00025
16,82.422,79.11,3.3119999999999976,2.607343997955322,0.0005
32,82.82,79.64,3.1799999999999926,1.9646018266677856,0.001
64,84.486,79.98,4.506,1.8423519706726075,0.002
128,79.672,77.29,2.381999999999991,1.7541754007339478,0.004
256,64.758,65.11,-0.35200000000000387,1.7491514348983765,0.008
512,47.36,48.1,-0.740000000000002,1.8807366514205932,0.016
1024,9.832,10.0,-0.16799999999999926,1.892717170715332,0.032
